nohup: ignoring input
[DeDL/SDL] Epoch 188/1000, train MSE=1.4631
[DeDL/SDL] Epoch 189/1000, train MSE=1.4566
[DeDL/SDL] Epoch 190/1000, train MSE=1.4499
[DeDL/SDL] Epoch 191/1000, train MSE=1.4439
[DeDL/SDL] Epoch 192/1000, train MSE=1.4372
[DeDL/SDL] Epoch 193/1000, train MSE=1.4310
[DeDL/SDL] Epoch 194/1000, train MSE=1.4254
[DeDL/SDL] Epoch 195/1000, train MSE=1.4189
[DeDL/SDL] Epoch 196/1000, train MSE=1.4128
[DeDL/SDL] Epoch 197/1000, train MSE=1.4069
[DeDL/SDL] Epoch 198/1000, train MSE=1.4008
[DeDL/SDL] Epoch 199/1000, train MSE=1.3952
[DeDL/SDL] Epoch 200/1000, train MSE=1.3892
[DeDL/SDL] Epoch 201/1000, train MSE=1.3837
[DeDL/SDL] Epoch 202/1000, train MSE=1.3782
[DeDL/SDL] Epoch 203/1000, train MSE=1.3726
[DeDL/SDL] Epoch 204/1000, train MSE=1.3671
[DeDL/SDL] Epoch 205/1000, train MSE=1.3617
[DeDL/SDL] Epoch 206/1000, train MSE=1.3566
[DeDL/SDL] Epoch 207/1000, train MSE=1.3514
[DeDL/SDL] Epoch 208/1000, train MSE=1.3462
[DeDL/SDL] Epoch 209/1000, train MSE=1.3411
[DeDL/SDL] Epoch 210/1000, train MSE=1.3361
[DeDL/SDL] Epoch 211/1000, train MSE=1.3313
[DeDL/SDL] Epoch 212/1000, train MSE=1.3264
[DeDL/SDL] Epoch 213/1000, train MSE=1.3215
[DeDL/SDL] Epoch 214/1000, train MSE=1.3169
[DeDL/SDL] Epoch 215/1000, train MSE=1.3121
[DeDL/SDL] Epoch 216/1000, train MSE=1.3077
[DeDL/SDL] Epoch 217/1000, train MSE=1.3032
[DeDL/SDL] Epoch 218/1000, train MSE=1.2989
[DeDL/SDL] Epoch 219/1000, train MSE=1.2948
[DeDL/SDL] Epoch 220/1000, train MSE=1.2900
[DeDL/SDL] Epoch 221/1000, train MSE=1.2860
[DeDL/SDL] Epoch 222/1000, train MSE=1.2823
[DeDL/SDL] Epoch 223/1000, train MSE=1.2776
[DeDL/SDL] Epoch 224/1000, train MSE=1.2736
[DeDL/SDL] Epoch 225/1000, train MSE=1.2698
[DeDL/SDL] Epoch 226/1000, train MSE=1.2656
[DeDL/SDL] Epoch 227/1000, train MSE=1.2619
[DeDL/SDL] Epoch 228/1000, train MSE=1.2582
[DeDL/SDL] Epoch 229/1000, train MSE=1.2550
[DeDL/SDL] Epoch 230/1000, train MSE=1.2507
[DeDL/SDL] Epoch 231/1000, train MSE=1.2472
[DeDL/SDL] Epoch 232/1000, train MSE=1.2435
[DeDL/SDL] Epoch 233/1000, train MSE=1.2400
[DeDL/SDL] Epoch 234/1000, train MSE=1.2367
[DeDL/SDL] Epoch 235/1000, train MSE=1.2337
[DeDL/SDL] Epoch 236/1000, train MSE=1.2299
[DeDL/SDL] Epoch 237/1000, train MSE=1.2267
[DeDL/SDL] Epoch 238/1000, train MSE=1.2231
[DeDL/SDL] Epoch 239/1000, train MSE=1.2203
[DeDL/SDL] Epoch 240/1000, train MSE=1.2171
[DeDL/SDL] Epoch 241/1000, train MSE=1.2140
[DeDL/SDL] Epoch 242/1000, train MSE=1.2106
[DeDL/SDL] Epoch 243/1000, train MSE=1.2077
[DeDL/SDL] Epoch 244/1000, train MSE=1.2044
